English,German,Keyword
quick,schnell,smell
noisy,laut,lout
big,gross,gross
empty,leer,lair
small,klein,inclined
heavy,schwer,swear
late,spät,spade
furniture,Möbel,mobile
carpet,Teppich,tipping
curtain,Gardine,garden
cupboard,Schrank,shrank
armchair,Sessel,Cecil
shelf,Brett,bread
piano,Klavier,clever
clock,Uhr,your
picture,Bild,billed
black,schwarz,warts
white,weiss,vice
red,rot,rotate
green,grün,groan
gray,grau,growl
room,Zimmer,shimmering
bathroom,Badezimmer,bad zimmer
bedroom,Schlafzimmer,laugh zimmer
kitchen,Küche,cook
house,Haus,house
window,Fenster,fenced her
roof,Dach,duck
wall,Wand,wand
floor,Boden,boating
light,Licht,licked
hat,Hut,hoot
shoe,Schuh,shoe
trousers,Hose,hosing
skirt,Rock,rock
shirt,Hemd,hemmed
dress,Kleid,collide
tie,Schlips,slips
socks,Socken,sock
coat,Mantel,dismantle
blouse,Bluse,blue